,device,dnn_applied,plus_file,minus_file,scene,snr_left,snr_right,snr,mbstoi,hasqi_left,haspi_left,sisdr
454,012_gn5_l_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/012_gn5_l_bypass_ku100/012_gn5_l_bypass_ku100_plus_meeting_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/012_gn5_l_bypass_ku100/012_gn5_l_bypass_ku100_minus_meeting_0deg.wav,meeting_0deg,4.2690253257751465,4.463269114494324,4.386680722236633,0.7069390450717773,0.694208670540402,0.9999257072887475,-4.385703086853027
455,012_gn5_l_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/012_gn5_l_bypass_ku100/012_gn5_l_bypass_ku100_plus_meeting_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/012_gn5_l_bypass_ku100/012_gn5_l_bypass_ku100_minus_meeting_30deg.wav,meeting_30deg,6.41815185546875,6.600683331489563,6.571786999702454,0.756659209212134,0.8435099627652365,0.9999582977186844,-6.582493305206299
462,014_ph5_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_minus_party_0deg.wav,party_0deg,8.676493167877197,10.225533246994019,9.505178928375244,0.7313002458529767,0.9391525887683748,0.9999769510991733,-9.490185737609863
463,014_ph5_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_minus_party_30deg.wav,party_30deg,10.059672594070435,13.978050947189331,12.777632474899292,0.7415663131652046,0.971766825187571,0.9999817636056503,-12.762088775634766
464,014_ph5_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_minus_restaurant_0deg.wav,restaurant_0deg,8.578970432281494,8.89553427696228,8.75972032546997,0.752944997827508,0.9527149546850406,0.9999786095588277,-8.759100914001465
465,014_ph5_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_plus_restaurant_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_minus_restaurant_30deg.wav,restaurant_30deg,9.308747053146362,12.322264909744263,11.493111848831177,0.754489647172592,0.9782386574768384,0.9999804497808472,-11.49429702758789
466,014_ph5_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_plus_meeting_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_minus_meeting_0deg.wav,meeting_0deg,5.782605409622192,6.027684807777405,5.9164828062057495,0.7382538321567951,0.9405698333647942,0.9999771469265494,-5.902991771697998
467,014_ph5_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_plus_meeting_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/014_ph5_p_bypass_ku100/014_ph5_p_bypass_ku100_minus_meeting_30deg.wav,meeting_30deg,8.052124977111816,10.148838758468628,9.57265019416809,0.770774141526762,0.9779164072850184,0.9999803430377813,-9.5772705078125
474,018_ph5_s_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_minus_party_0deg.wav,party_0deg,8.893617987632751,10.517263412475586,9.761298894882202,0.7281002245238202,0.9323881563541515,0.9999742925453571,-9.746628761291504
475,018_ph5_s_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_minus_party_30deg.wav,party_30deg,10.49545407295227,14.163649082183838,12.961673736572266,0.7536596734470656,0.958841009576801,0.9999831044955613,-12.948434829711914
